Account,Symbol,Price,Side,Info,Size,Date
CSTLNM31,CVI,44.020000,1,0,100,20130828-20:03:59 
CSTLNM31,DGX,58.140000,1,0,27,20130828-20:04:05 
CSTLNM31,DGX,58.140000,1,0,73,20130828-20:04:05 
CSTLNM31,WAT,98.530000,5,0,100,20130828-20:04:09 
CSTLNM31,EV,39.090000,1,0,100,20130828-20:04:13 
CSTLNM31,STJ,50.610000,5,0,100,20130828-20:04:25 
CSTLNM31,HUM,92.820000,1,0,100,20130828-20:04:30 
CSTLNM31,WAB,58.760000,5,0,100,20130828-20:04:33 
CSTLNM31,STT,66.790000,1,0,100,20130828-20:05:15 
CSTLNM31,KRC,49.300000,5,0,100,20130828-20:05:29 
CSTLNM31,CW,42.150000,1,0,100,20130828-20:06:33 
